19:33:41.516 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for CONNECTEDSEGMENTS
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@f19c9d2 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@b91d8c4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@56e07a08 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6ea1bcdc (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@782a4fff (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6063d80a (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@355e34c7 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@48c40605 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@29876704 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4e4efc1b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.187 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@44a2b17b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7a56812e (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@538613b3 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@578524c3 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6db66836 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@23a9ba52 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@9573b3b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7fb9f71f (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3b366632 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@617fe9e1 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3af4e0bf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@60094a13 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@42257bdd (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4b629f13 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@71f67a79 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4108fa66 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@5a62b2a4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2f3c6ac4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@62f87c44 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@525d79f0 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.188 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2ca65ce4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@13579834 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7c18432b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@40bffbca (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.189 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@726386ed (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@51650883 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@48e64352 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6ab72419 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4fdfa676 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3d4d3fe7 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@65f87a2c (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@51684e4a (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@31c269fd (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@47747fb9 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.190 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@f5c79a6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@51a06cbe (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@36ac8a63 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@52d10fb8 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4593ff34 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7cd1ac19 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2f40a43 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1804f60d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@733037 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7bdf6bb7 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1bc53649 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@15deb1dc (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@36dce7ed (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@eadb475 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4d4d48a6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1556f2dd (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3d829787 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@51bde877 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@c0b41d6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@25230246 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@17f9344b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@54e81b21 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.191 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:46.192 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@20765ed5 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@34123d65 (name: Segment) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy PositiveLength
19:33:46.192 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
